paper_ID,GPUs,CPUs
2018/Nakada et al. - 2018 - Deep learning of biomimetic sensorimotor control for biomechanical human animation,['NVIDIA GeForce GTX TITAN X'],[]
2018/Nakashima et al. - 2018 - CoreCavity interactive shell decomposition for fabrication with two-piece rigid molds,[],[]
2018/Pai et al. - 2018 - The human touch measuring contact with real human soft tissues,[],[]
2018/Peng et al. - 2018 - Anderson acceleration for geometry optimization and physics simulation,[],[]
2018/Peng et al. - 2018 - Autocomplete 3D sculpting,[],[]
2018/Peng et al. - 2018 - DeepMimic example-guided deep reinforcement learning of physics-based character skills,[],[]
2018/Peng et al. - 2018 - Designing patterns using triangle-quad hybrid meshes,['NVIDIA GeForce GTX 1080'],[]
2018/Piovarc╠îi et al. - 2018 - Perception-aware modeling and fabrication of digital drawing tools,[],[]
2018/Poms et al. - 2018 - Scanner efficient video analysis at scale,"['NVIDIA TITAN Xp', 'NVIDIA Tesla K80']",[]
2018/Portenier et al. - 2018 - Faceshop deep sketch-based face image editing,['NVIDIA TITAN Xp'],[]
2018/Prada et al. - 2018 - Gradient-domain processing within a texture atlas,[],[]
2018/Raghuvanshi and Snyder - 2018 - Parametric directional coding for precomputed sound propagation,[],[]
2018/Sakurai et al. - 2018 - Fabricating reflectors for displaying multiple images,[],['Intel Core i7-5820K']
2018/Sato et al. - 2018 - Example-based turbulence style transfer,[],['Intel Core i7-6700K']
2018/Schertler et al. - 2018 - Generalized motorcycle graphs for imperfect quad-dominant meshes,[],[]
2018/Schulz et al. - 2018 - Interactive exploration of design trade-offs,[],[]
2018/Schumacher et al. - 2018 - Mechanical characterization of structured sheet materials,[],[]
2018/Schu╠êller et al. - 2018 - Shape representation by zippables,[],['Intel Xeon E5-2650 v2']
2018/Sharp and Crane - 2018 - Variational surface cutting,[],[]
2018/Simo-Serra et al. - 2018 - Real-time data-driven interactive rough sketch inking,['NVIDIA GeForce GTX 1080'],['Intel Core i7-6800K']
2018/Sitzmann et al. - 2018 - End-to-end optimization of optics and image processing for achromatic extended depth of field and su,['NVIDIA TITAN X Pascal'],[]
2018/Soliman et al. - 2018 - Optimal cone singularities for conformal flattening,[],[]
2018/Stein et al. - 2018 - Developability of triangle meshes,[],[]
2018/Sun et al. - 2018 - Towards virtual reality infinite walking dynamic saccadic redirection,[],['Intel Core i7-7700K']
2018/Thies et al. - 2018 - Headon real-time reenactment of human portrait videos,['NVIDIA GeForce GTX 1080 Ti'],[]
2018/Umetani and Bickel - 2018 - Learning three-dimensional flow for interactive aerodynamic design,[],[]
2018/Ve╠üvoda et al. - 2018 - Bayesian online regression for adaptive direct illumination sampling,[],['Intel Core i7-5820K']
2018/Vogels et al. - 2018 - Denoising with kernel prediction and asymmetric loss functions,['NVIDIA TITAN X Pascal'],[]
2018/Wadhwa et al. - 2018 - Synthetic depth-of-field with a single-camera mobile phone,['NVIDIA GeForce GTX TITAN X'],[]
2018/Wang - 2018 - Rule-free sewing pattern adjustment with precision and efficiency,['NVIDIA GeForce GTX TITAN X'],['Intel Core i7-5820K']
2018/Wang and Ramamoorthi - 2018 - Analytic spherical harmonic coefficients for polygonal area lights,['NVIDIA GeForce GTX 1080 Ti'],[]
2018/Wang et al. - 2018 - Deep convolutional priors for indoor scene synthesis,['NVIDIA GeForce GTX 1080 Ti'],[]
2018/Wang et al. - 2018 - Megapixel adaptive optics towards correcting large-scale distortions in computational cameras,['NVIDIA TITAN X Pascal'],['Intel Xeon E5-2680']
2018/Wang et al. - 2018 - Toward wave-based sound synthesis for computer animation,[],[]
2018/Weidner et al. - 2018 - Eulerian-on-lagrangian cloth simulation,[],['Intel Core i7-7700']
2018/Whelan et al. - 2018 - Reconstructing scenes with mirror and glass surfaces,['NVIDIA TITAN Xp'],['Intel Core i7-5930K']
2018/Wu et al. - 2018 - Full 3D reconstruction of transparent objects,[],[]
2018/Wu et al. - 2018 - Stitch meshing,[],['Intel Core i7-3930K']
2018/Xie et al. - 2018 - Creating and chaining camera moves for quadrotor videography,[],[]
"2018/Xie et al. - 2018 - tempoGAN a temporally coherent, volumetric GAN for super-resolution fluid flow",['NVIDIA GeForce GTX 1080 Ti'],['Intel Core i7-6850K']
2018/Xu et al. - 2018 - Deep image-based relighting from optimal sparse samples,['NVIDIA GeForce GTX 1080 Ti'],[]
2018/Yamaguchi et al. - 2018 - High-fidelity facial reflectance and geometry inference from an unconstrained image,['NVIDIA GeForce GTX 1080 Ti'],[]
2018/Yan et al. - 2018 - Rendering specular microgeometry with wave optics,[],[]
"2018/Yan et al. - 2018 - Voxel cores efficient, robust, and provably good approximation of 3D medial axes",[],[]
2018/Yin et al. - 2018 - P2P-NET bidirectional point displacement net for shape transform,['NVIDIA TITAN Xp'],[]
2018/Yu et al. - 2018 - Learning symmetric and low-energy locomotion,[],[]
2018/Zang et al. - 2018 - Space-time tomography for continuously deforming objects,[],['Intel Xeon E5-2687W']
2018/Zehnder et al. - 2018 - An advection-reflection solver for detail-preserving fluid simulation,[],[]
2018/Zeltner and Jakob - 2018 - The layer laboratory a calculus for additive and subtractive composition of anisotropic surface ref,[],"['Intel Core i7-6700K', 'Intel Xeon E5-2680']"
2018/Zhang et al. - 2018 - Mode-adaptive neural networks for quadruped motion control,['NVIDIA GeForce GTX 970'],[]
2018/Zhao et al. - 2018 - DSCarver decompose-and-spiral-carve for subtractive manufacturing,[],['Intel Core i7-7700']
2018/Zhao et al. - 2018 - What characterizes personalities of graphic designs,['NVIDIA TITAN X Pascal'],[]
2018/Zhong et al. - 2018 - Computing a high-dimensional euclidean embedding from an arbitrary smooth riemannian metric,[],['Intel Core i7-6700']
2018/Zhou et al. - 2018 - Non-stationary texture synthesis by adversarial expansion,['NVIDIA TITAN Xp'],[]
2018/Zhou et al. - 2018 - Stereo magnification learning view synthesis using multiplane images,['NVIDIA Tesla P100 PCIe 12 GB'],[]
2018/Zhou et al. - 2018 - Visemenet audio-driven animator-centric speech animation,['NVIDIA GeForce GTX TITAN X'],[]
2018/Zhu et al. - 2018 - Blended cured quasi-newton for distortion optimization,[],[]
2018/Zoss et al. - 2018 - An empirical rig for jaw animation,[],[]
2018/Zsolnai-Fehe╠ür et al. - 2018 - Gaussian material synthesis,['NVIDIA GeForce GTX TITAN X'],['Intel Core i5-6600']
2019/Aberman et al. - 2019 - Learning character-agnostic motion for motion retargeting in 2D,['NVIDIA GeForce GTX TITAN'],['Intel Core i7-6950X']
2019/Adams et al. - 2019 - Learning to optimize halide with tree search and random programs,['NVIDIA Tesla V100 PCIe 16 GB'],['Intel Core i9-7960X']
2019/Alderighi et al. - 2019 - Volume-aware design of composite molds,[],['Intel Core i7-6700K']
2019/Alexa - 2019 - Harmonic triangulations,[],[]
2019/Arau╠üjo et al. - 2019 - Surface2Volume surface segmentation conforming assemblable volumetric partition,[],['AMD Ryzen Threadripper 1950X']
2019/Bansal and Tatu - 2019 - Affine interpolation in a lie group framework,[],[]
2019/Bar et al. - 2019 - A Monte Carlo framework for rendering speckle statistics in scattering media,[],[]
2019/Bau et al. - 2019 - Semantic photo manipulation with a generative image prior,[],[]
2019/Bonneel and Coeurjolly - 2019 - SPOT sliced partial optimal transport,[],[]
2019/Buffet et al. - 2019 - Implicit untangling a robust solution for modeling layered clothing,[],[]
2019/Ciccone et al. - 2019 - Tangent-space optimization for interactive animation control,[],['Intel Core i7-4930K']
2019/Corman and Crane - 2019 - Symmetric moving frames,[],[]
2019/Cse╠übfalvi - 2019 - Beyond trilinear interpolation higher quality for free,['NVIDIA GeForce GT 720M'],[]
"2019/Deng et al. - 2019 - Photon surfaces for robust, unbiased volumetric density estimation",[],[]
2019/Dong et al. - 2019 - Multi-robot collaborative dense scene reconstruction,[],"['Intel Core i7-6700K', 'Intel Core i5-8250U']"
2019/Etienne et al. - 2019 - CurviSlicer slightly curved slicing for 3-axis printers,[],['Intel Core i7-4790K']
2019/Fang et al. - 2019 - Silly rubber an implicit material point method for simulating non-equilibrated viscoelastic and ela,[],['Intel Core i9-9900K']
2019/Fried et al. - 2019 - Text-based editing of talking-head video,[],[]
2019/Friston et al. - 2019 - Perceptual rasterization for head-mounted display image synthesis,"['NVIDIA Quadro K6000', 'NVIDIA GeForce GTX 980']",[]
2019/Fru╠êhstu╠êck et al. - 2019 - TileGAN synthesis of large-scale non-homogeneous textures,"['NVIDIA TITAN Xp', 'NVIDIA Tesla V100 PCIe 16 GB']",[]
2019/GAO et al. - 2019 - Deep inverse rendering for high-resolution SVBRDF estimation from an arbitrary number of images,['NVIDIA GeForce GTX 1080 Ti'],[]
2019/Gharbi et al. - 2019 - Sample-based Monte Carlo denoising using a kernel-splatting network,"['NVIDIA TITAN X Pascal', 'NVIDIA TITAN Xp']",['Intel Core i7-6900K']
2019/Glauser et al. - 2019 - Interactive hand pose estimation using a stretch-sensing soft glove,['NVIDIA GeForce GTX 1080 Ti'],[]
2019/Goldade et al. - 2019 - An adaptive variational finite difference framework for efficient symmetric octree viscosity,[],[]
2019/Guo et al. - 2019 - Fractional gaussian fields for modeling and rendering of spatially-correlated media,[],['Intel Core i7-6900K']
2019/Hanocka et al. - 2019 - MeshCNN a network with an edge,['NVIDIA GeForce GTX 1080 Ti'],[]
2019/Hong et al. - 2019 - Physics-based full-body soccer motion control for dribbling and shooting,[],[]
2019/Hoshyari et al. - 2019 - Vibration-minimizing motion retargeting for robotic characters,[],['Intel Core i7-7700']
2019/Hu et al. - 2019 - TriWild robust triangulation with curve constraints,[],[]
2019/Huang et al. - 2019 - On the accurate large-scale simulation of ferrofluids,['NVIDIA GeForce GTX 1080'],[]
2019/Huang et al. - 2019 - Tensor maps for synchronizing heterogeneous shape collections,[],[]
2019/Huang et al. - 2019 - Variational implicit point set surfaces,[],[]
2019/Jamris╠îka et al. - 2019 - Stylizing video by example,['NVIDIA GeForce GTX 1070'],[]
2019/Jeon et al. - 2019 - Compact snapshot hyperspectral imaging with diffracted rotation,['NVIDIA TITAN Xp'],['Intel Core i7-3770']
2019/Jiang et al. - 2019 - Synthesis of biologically realistic human motion using joint torque actuation,[],[]
2019/Kang and Cho - 2019 - Interactive and automatic navigation for 360┬░ video playback,[],[]
2019/Kettunen et al. - 2019 - Deep convolutional reconstruction for gradient-domain rendering,['NVIDIA Tesla V100 PCIe 16 GB'],['Intel Core i7-3770K']
2019/Kim et al. - 2019 - Anisotropic elasticity for inversion-safety and element rehabilitation,[],[]
2019/Kim et al. - 2019 - Foveated AR dynamically-foveated augmented reality display,['NVIDIA GeForce RTX 2080 Ti'],[]
2019/Kondapaneni et al. - 2019 - Optimal multiple importance sampling,[],['Intel Core i7-5820K']
2019/Kuo et al. - 2019 - Creating impactful characters correcting human impact accelerations using high rate IMUs in dynamic,[],['Intel Xeon E5-2630']
2019/Lagunas et al. - 2019 - A similarity measure for material appearance,[],[]
2019/Le and Lewis - 2019 - Direct delta mush skinning and variants,[],[]
2019/Lee et al. - 2019 - Scalable muscle-actuated human simulation and control,['NVIDIA GeForce GTX 1070 Ti'],['Intel Core i7-7700']
2019/Li et al. - 2019 - Decomposed optimization time integrator for large-step elastodynamics,[],[]
2019/Lindell et al. - 2019 - Wave-based non-line-of-sight imaging using fast f-k migration,[],[]
2019/Liu et al. - 2019 - Atlas refinement with bounded packing efficiency,[],['Intel Core i7-4790K']
2019/Liu et al. - 2019 - Computational peeling art design,[],['Intel Core i7-4790K']
2019/Liu et al. - 2019 - NeuroSkinning automatic skin binding for production characters with deep graph networks,[],[]
2019/Liu et al. - 2019 - Physically-based statistical simulation of rain sound,['NVIDIA GeForce GTX 745 OEM'],['Intel Core i5-4460']
2019/Liu et al. - 2019 - Spectral coarsening of geometric operators,['NVIDIA GeForce GTX 1080'],[]
2019/Lombardi et al. - 2019 - Neural volumes learning dynamic renderable volumes from images,['NVIDIA Tesla V100 PCIe 16 GB'],[]
2019/Lyon et al. - 2019 - Parametrization quantization with free boundaries for trimmed quad meshing,[],[]
2019/Maia et al. - 2019 - LayerCode optical barcodes for 3D printed shapes,[],[]
2019/Makowski et al. - 2019 - Synthetic silviculture multi-scale modeling of plant ecosystems,['NVIDIA GeForce GTX 1050'],[]
2019/Marti╠ünez et al. - 2019 - Star-shaped metrics for mechanical metamaterial design,[],[]
2019/Meka et al. - 2019 - Deep reflectance fields high-quality facial reflectance field inference from color gradient illumin,"['NVIDIA TITAN Xp', 'NVIDIA Tesla V100 PCIe 16 GB']",['Intel Xeon Gold 6154']
2019/Mildenhall et al. - 2019 - Local light field fusion practical view synthesis with prescriptive sampling guidelines,"['NVIDIA GeForce RTX 2080 Ti', 'NVIDIA GeForce GTX 1080 Ti']",[]
2019/Miller et al. - 2019 - A null-scattering path integral formulation of light transport,[],[]
2019/Monszpart et al. - 2019 - iMapper interaction-guided scene mapping from monocular videos,['NVIDIA TITAN X Pascal'],[]
2019/Mueller et al. - 2019 - Real-time pose and shape reconstruction of two interacting hands with a single depth camera,"['NVIDIA Tesla V100 PCIe 16 GB', 'NVIDIA GeForce GTX 1080 Ti']",[]
2019/Nagasawa et al. - 2019 - Mixing sauces a viscosity blending model for shear thinning fluids,[],[]
2019/Narayanan et al. - 2019 - Visual knitting machine programming,[],[]
2019/Padilla et al. - 2019 - On bubble rings and ink chandeliers,[],[]
2019/Panetta et al. - 2019 - X-Shells a new class of deployable beam structures,[],['Intel Core i7-7920HQ']
2019/Pediredla et al. - 2019 - Ellipsoidal path connections for time-gated rendering,[],[]
2019/Pellis et al. - 2019 - Visual smoothness of polyhedral surfaces,[],[]
2019/Peters et al. - 2019 - Using moments to represent bounded signals for spectral rendering,['NVIDIA GeForce RTX 2080 Ti'],['Intel Core i7-8700K']
2019/Pe╠ürard-Gayot et al. - 2019 - Rodent generating renderers without writing a generator,['NVIDIA GeForce GTX TITAN X'],['Intel Core i7-6700K']
2019/Philip et al. - 2019 - Multi-view relighting using a geometry-aware network,"['NVIDIA GeForce GTX 1080', 'NVIDIA GeForce GTX 1080 Ti']",[]
2019/Preiner et al. - 2019 - Gaussian-product subdivision surfaces,[],[]
2019/Qu et al. - 2019 - Efficient and conservative fluids using bidirectional mapping,['NVIDIA TITAN Xp'],['Intel Core i7-6950X']
2019/Rosales et al. - 2019 - SurfaceBrush from virtual reality drawings to manifold surfaces,[],[]
2019/Roussel et al. - 2019 - Designing chain reaction contraptions from causal graphs,[],[]
2019/Rusinkiewicz - 2019 - A symmetric objective function for ICP,[],[]
2019/Schreck et al. - 2019 - Fundamental solutions for water wave animation,[],[]
2019/Sharp et al. - 2019 - Navigating intrinsic triangulations,[],[]
2019/Shen et al. - 2019 - Progressive embedding,[],[]
2019/Shih et al. - 2019 - Distortion-free wide-angle portraits on camera phones,[],[]
2019/Solomon and Vaxman - 2019 - Optimal transport-based polar interpolation of directional fields,[],[]
2019/Sumin et al. - 2019 - Geometry-aware scattering compensation for 3D printing,[],['Intel Xeon E5620']
2019/Sun et al. - 2019 - Single image portrait relighting,['NVIDIA Tesla V100 PCIe 16 GB'],[]
2019/Thies et al. - 2019 - Deferred neural rendering image synthesis using neural textures,['NVIDIA GeForce GTX 1080 Ti'],[]
2019/Tokuyoshi and Harada - 2019 - Hierarchical russian roulette for vertex connections,[],['AMD Ryzen Threadripper 2990WX']
2019/Tricard et al. - 2019 - Procedural phasor noise,[],[]
2019/Tseng et al. - 2019 - Hyperparameter optimization in black-box image processing using differentiable proxies,[],[]
2019/Tursun et al. - 2019 - Luminance-contrast-aware foveated rendering,['NVIDIA GeForce RTX 2080 Ti'],[]
2019/Vekhter et al. - 2019 - Weaving geodesic foliations,[],[]
2019/Verhetsel et al. - 2019 - Finding hexahedrizations for small quadrangulations of the sphere,[],"['Intel Core i7-7700HQ', 'AMD EPYC 7551']"
2019/Vicini et al. - 2019 - A learned shape-adaptive subsurface scattering model,[],[]
2019/Wang and James - 2019 - KleinPAT optimal mode conflation for time-domain precomputation of acoustic transfer,['NVIDIA GeForce GTX TITAN X'],['Intel Xeon E5-2690 v3']
2019/Wang et al. - 2019 - Hand modeling and simulation using stabilized magnetic resonance imaging,[],['Intel Core i7-6950X']
2019/Wang et al. - 2019 - PlanIT planning and instantiating indoor scenes with relation graph and spatial prior networks,['NVIDIA GeForce GTX 1080 Ti'],['Intel Core i7-6850K']
2019/Wang et al. - 2019 - RedMax efficient &amp; flexible approach for articulated dynamics,[],['Intel Core i7-7700']
2019/Wei et al. - 2019 - VR facial animation via multiview image translation,['NVIDIA GeForce GTX 1080 Ti'],[]
2019/Wolff and Sorkine-Hornung - 2019 - Wallpaper pattern alignment along garment seams,[],[]
2019/Wolper et al. - 2019 - CD-MPM continuum damage material point methods for dynamic fracture animation,[],['Intel Core i7-8700K']
2019/Wronski et al. - 2019 - Handheld multi-frame super-resolution,"['NVIDIA Tesla P100 PCIe 12 GB', 'NVIDIA GeForce GTX 980']",[]
2019/Wu et al. - 2019 - Accurate appearance preserving prefiltering for rendering displacement-mapped surfaces,[],['Intel Core i7-5930K']
2019/Wu et al. - 2019 - SAGNet structure-aware generative network for 3D-shape modeling,[],[]
2019/Xiao et al. - 2019 - Vidgets modular mechanical widgets for mobile devices,[],[]
2019/Xu et al. - 2019 - Deep view synthesis from sparse photometric images,"['NVIDIA TITAN Xp', 'NVIDIA GeForce GTX 1080 Ti']",[]
2019/Xu et al. - 2019 - Learning to fly computational controller design for hybrid UAVs with reinforcement learning,[],[]
2019/Yaniv et al. - 2019 - The face of art landmark detection and geometric style in portraits,[],[]
2019/Zang et al. - 2019 - Warp-and-project tomography for rapidly deforming objects,[],[]
2019/Zhang et al. - 2019 - Computational design of fabric formwork,[],[]
2019/Zhang et al. - 2019 - InteractionFusion real-time reconstruction of hand poses and deformable objects in hand-object inte,['NVIDIA TITAN Xp'],[]
2019/Zhang et al. - 2019 - Synthetic defocus and look-ahead autofocus for casual videography,['NVIDIA TITAN X Pascal'],[]
2019/Zheng et al. - 2019 - Content-aware generative modeling of graphic design layouts,['NVIDIA TITAN X Pascal'],[]
2019/Zimmermann et al. - 2019 - PuppetMaster robotic animation of marionettes,[],[]
2019/Zoss et al. - 2019 - Accurate markerless jaw tracking for facial performance capture,[],[]
2020/Aberman et al. - 2020 - Skeleton-aware networks for deep motion retargeting,['NVIDIA TITAN Xp'],['Intel Core i7-6950X']
2020/Aberman et al. - 2020 - Unpaired motion style transfer from video to animation,['NVIDIA TITAN Xp'],[]
2020/Ando and Batty - 2020 - A practical octree liquid simulator with adaptive surface resolution,[],"['Intel Core i9-9900KF', 'Intel Core i7-6900K', 'Intel Core i9-9980XE']"
2020/Baek et al. - 2020 - Image-based acquisition and modeling of polarimetric reflectance,[],[]
2020/Bailey et al. - 2020 - Fast and deep facial deformations,"['NVIDIA Quadro K5200', 'NVIDIA GeForce GTX 1060 5 GB']","['Intel Xeon E5-2697 v3', 'Intel Core i7-7700HQ']"
2020/Bitterli et al. - 2020 - Spatiotemporal reservoir resampling for real-time ray tracing with dynamic direct lighting,"['NVIDIA GeForce RTX 2080 Ti', 'NVIDIA TITAN RTX']",[]
2020/Bonneel et al. - 2020 - Code replicability in computer graphics,[],[]
2020/Bosch - 2020 - N-dimensional rigid body dynamics,[],[]
2020/Broxton et al. - 2020 - Immersive light field video with a layered mesh representation,[],[]
2020/Chaitanya et al. - 2020 - Directional sources and listeners in interactive sound propagation using reciprocal wave field codin,[],[]
2020/Chang et al. - 2020 - Towards occlusion-aware multifocal displays,[],[]
2020/Chen et al. - 2020 - DeepFaceDrawing deep generation of face images from sketches,['NVIDIA GeForce GTX 1080 Ti'],['Intel Core i7-7700']
2020/Cheshmi et al. - 2020 - NASOQ numerically accurate sparsity-oriented QP solver,[],['Intel Core i7-5820K']
2020/Chiu et al. - 2020 - Human-in-the-loop differential subspace search in high-dimensional latent space,['NVIDIA GeForce GTX 1080'],['Intel Core i7-8086K']
2020/Chu et al. - 2020 - Learning temporal coherence via self-supervision for GAN-based video generation,[],[]
2020/Coevoet et al. - 2020 - Adaptive merging for rigid body simulation,[],[]
